"","struct_idx","frequency","path_id","sequence_id","wavevector_x","wavevector_y","eig_idx"
"332529",10,5,1,1,-0.0228237653812543,0,1
"332530",10,5,1,2,0,0.0255537579674094,1
"332531",10,5,1,3,0.0228237653812543,0,1
"332532",10,10,1,1,-0.0456475307625085,0,1
"332533",10,10,1,2,0,0.0511075159348188,1
"332534",10,10,1,3,0.0456475307625085,0,1
"332535",10,15,1,1,-0.0684712961437628,0,1
"332536",10,15,1,2,-0.0218799221148141,0.0628318530717959,1
"332537",10,15,1,3,0,0.0766673113346644,1
"332538",10,15,1,4,0.0129863088888729,0.0628318530717959,1
"332539",10,15,1,5,0.0684712961437628,0,1
"332540",10,20,1,1,-0.091295061525017,0,1
"332541",10,20,1,2,-0.0623092532432273,0.0628318530717959,1
"332542",10,20,1,3,0,0.102232225162403,1
"332543",10,20,1,4,0.0369821795985142,0.0628318530717959,1
"332544",10,20,1,5,0.091295061525017,0,1
"332545",10,25,1,1,-0.114118826906271,0,1
"332546",10,25,1,2,-0.102738584371641,0.0628318530717959,1
"332547",10,25,1,3,-0.00312351769772566,0.125663706143592,1
"332548",10,25,1,4,0,0.127799007742937,1
"332549",10,25,1,5,0.00197161859912111,0.125663706143592,1
"332550",10,25,1,6,0.0609780503081554,0.0628318530717959,1
"332551",10,25,1,7,0.114118826906271,0,1
"332552",10,30,1,1,-0.13693274692021,0,1
"332553",10,30,1,2,-0.137205106002435,0.0628318530717959,1
"332554",10,30,1,3,-0.125663706143592,0.0728816134116443,1
"332555",10,30,1,4,-0.0405526127409118,0.125663706143592,1
"332556",10,30,1,5,0,0.153386314824934,1
"332557",10,30,1,6,0.0255975132079946,0.125663706143592,1
"332558",10,30,1,7,0.0849739210177967,0.0628318530717959,1
"332559",10,30,1,8,0.125663706143592,0.0141788166056381,1
"332560",10,30,1,9,0.13693274692021,0,1
"332561",10,35,1,1,-0.159736589380811,0,1
"332562",10,35,1,2,-0.163862184141546,0.0628318530717959,1
