"","iElectron","t","ix","iy","iz"
"173",128,2.36193e-12,197,196,4
"174",136,2.366084e-12,104,95,10
"175",135,2.386246e-12,79,100,2
"176",136,2.407683e-12,105,93,11
"177",128,2.433521e-12,195,198,5
"178",129,2.446006e-12,95,157,9
"179",129,2.461668e-12,97,158,10
"180",129,2.50245e-12,96,157,10
"181",136,2.511212e-12,104,92,12
"182",129,2.566857e-12,94,156,12
"183",136,2.578618e-12,102,94,12
"184",129,2.593854e-12,95,158,13
"185",136,2.617808e-12,102,92,14
"186",131,2.688583e-12,104,18,11
"187",132,2.715563e-12,133,135,0
"188",129,2.721474e-12,94,158,15
"189",134,2.751258e-12,143,140,6
"190",139,2.780109e-12,109,21,15
"191",131,2.790966e-12,104,16,13
"192",136,2.794754e-12,102,91,14
"193",129,2.797265e-12,94,159,16
"194",129,2.842448e-12,96,159,16
"195",130,2.845994e-12,240,106,5
"196",141,2.85987e-12,65,89,7
"197",131,2.942795e-12,103,12,14
"198",136,2.953737e-12,102,91,15
"199",132,2.971948e-12,133,134,1
"200",133,2.995155e-12,217,58,9
"201",136,3.002166e-12,103,92,15
"202",132,3.041831e-12,135,134,0
"203",141,3.090675e-12,65,90,10
"204",132,3.161925e-12,135,133,1
"205",136,3.174167e-12,103,91,16
"206",136,3.190148e-12,101,91,15
"207",131,3.208781e-12,104,12,15
"208",141,3.22243e-12,63,90,14
"209",131,3.248154e-12,105,10,18
"210",136,3.27165e-12,102,92,18
"211",131,3.294083e-12,108,9,20
"212",133,3.29909e-12,219,59,12
"213",141,3.322594e-12,62,89,16
"214",136,3.330054e-12,101,91,17
"215",132,3.344582e-12,134,133,1
"216",128,3.379143e-12,198,199,6
"217",132,3.42368e-12,131,130,2
"218",129,3.456111e-12,95,159,18
"219",136,3.472027e-12,101,88,17
"220",129,3.482268e-12,96,159,17
"221",136,3.488882e-12,102,89,19
"222",136,3.496406e-12,104,91,18
"223",132,3.496606e-12,130,132,0
"224",132,3.503435e-12,130,132,1
"225",132,3.503612e-12,128,132,2
"226",139,3.511989e-12,109,23,17
"227",133,3.51473e-12,220,60,15
"228",129,3.533899e-12,96,159,19
"229",141,3.545376e-12,61,88,18
"230",129,3.629664e-12,96,157,22
"231",129,3.633377e-12,94,158,22
"232",129,3.636347e-12,94,157,24
"233",132,3.66394e-12,132,131,2
"234",131,3.704153e-12,108,8,20
"235",129,3.714257e-12,95,158,23
"236",131,3.716749e-12,112,10,22
"237",133,3.727409e-12,220,58,13
"238",132,3.730787e-12,131,131,2
"239",133,3.738586e-12,221,57,17
"240",139,3.742705e-12,110,20,20
"241",132,3.745199e-12,133,129,3
"242",141,3.758503e-12,61,87,20
"243",141,3.764212e-12,61,85,18
"244",131,3.767373e-12,112,9,20
