"","iElectron","t","ix","iy","iz"
"4742",300,8.52745e-12,141,73,10
"4743",296,8.555436e-12,66,79,20
"4744",294,8.555636e-12,169,188,24
"4745",302,8.630637e-12,70,10,30
"4746",301,8.7097e-12,134,133,2
"4747",298,8.722153e-12,154,185,10
"4748",301,8.75722e-12,132,134,2
"4749",299,8.810358e-12,229,189,7
"4750",301,8.83788e-12,132,133,0
"4751",302,8.888895e-12,69,10,32
"4752",289,9.168848e-12,24,244,12
"4753",301,9.172698e-12,132,130,1
"4754",298,9.256635e-12,155,182,10
"4755",301,9.340262e-12,131,129,1
"4756",301,9.343635e-12,131,125,0
"4757",293,9.468669e-12,184,70,2
"4758",301,9.477524e-12,132,125,1
"4759",301,9.511327e-12,132,126,1
"4760",289,9.629015e-12,25,244,12
"4761",296,9.638841e-12,65,81,21
"4762",289,9.710706e-12,29,246,13
"4763",289,9.773314e-12,30,244,14
"4764",301,9.787521e-12,132,126,0
"4765",301,9.822447e-12,133,126,1
"4766",295,9.868708e-12,247,176,18
"4767",301,9.876657e-12,134,125,0
"4768",301,9.911444e-12,135,126,1
"4769",293,9.927447e-12,186,69,4
"4770",294,9.930708e-12,167,188,24
"4771",295,9.961868e-12,247,174,17
"4772",289,1.011525e-11,32,241,16
"4773",295,1.019622e-11,247,175,17
"4774",301,1.021322e-11,135,126,0
"4775",301,1.024447e-11,134,127,2
"4776",301,1.025858e-11,134,128,2
"4777",295,1.026054e-11,247,178,17
"4778",289,1.026619e-11,28,242,18
"4779",301,1.036989e-11,133,130,5
"4780",292,1.041366e-11,187,246,11
"4781",295,1.043445e-11,247,176,17
"4782",295,1.044741e-11,247,176,16
"4783",301,1.045762e-11,134,131,4
"4784",301,1.046155e-11,132,132,3
"4785",301,1.047105e-11,132,131,1
"4786",301,1.05622e-11,128,132,0
"4787",292,1.057137e-11,188,248,10
"4788",301,1.0583e-11,129,130,0
"4789",295,1.071879e-11,248,176,16
"4790",295,1.074537e-11,247,175,16
"4791",293,1.075478e-11,183,68,4
"4792",295,1.079537e-11,248,176,16
"4793",302,1.081764e-11,68,8,33
"4794",301,1.083081e-11,133,128,2
"4795",294,1.084113e-11,167,189,24
"4796",295,1.089279e-11,248,176,17
"4797",295,1.09211e-11,247,175,18
"4798",301,1.098199e-11,133,127,2
"4799",294,1.098832e-11,168,190,24
"4800",302,1.108875e-11,66,8,33
"4801",301,1.112683e-11,132,127,3
"4802",301,1.11333e-11,133,126,1
"4803",301,1.123853e-11,134,125,0
"4804",301,1.142578e-11,136,128,0
"4805",295,1.149309e-11,248,175,18
"4806",292,1.151396e-11,185,246,11
"4807",291,1.154085e-11,61,246,19
"4808",295,1.156334e-11,248,176,18
"4809",301,1.157523e-11,135,129,0
"4810",301,1.159872e-11,134,127,1
"4811",301,1.163452e-11,133,128,0
"4812",301,1.17102e-11,132,129,1
"4813",295,1.173927e-11,247,175,18
"4814",294,1.176095e-11,167,189,24
"4815",301,1.179507e-11,132,128,0
"4816",295,1.182185e-11,248,175,18
"4817",289,1.187461e-11,30,245,18
"4818",289,1.193204e-11,33,244,20
"4819",301,1.194748e-11,131,128,3
"4820",291,1.195533e-11,59,248,22
"4821",301,1.20352e-11,130,128,1
"4822",291,1.204249e-11,57,247,24
"4823",292,1.213911e-11,185,245,11
"4824",292,1.216261e-11,185,246,11
"4825",301,1.218208e-11,129,127,1
"4826",289,1.228875e-11,33,244,21
"4827",294,1.233738e-11,167,188,24
"4828",295,1.246697e-11,246,175,18
"4829",289,1.248376e-11,33,242,24
"4830",289,1.257123e-11,36,244,24
"4831",301,1.25869e-11,130,127,0
"4832",292,1.265443e-11,186,247,11
"4833",289,1.267474e-11,38,241,24
"4834",300,1.271232e-11,139,72,13
"4835",289,1.27225e-11,39,240,26
"4836",292,1.274724e-11,187,245,11
"4837",301,1.276346e-11,129,129,0
"4838",301,1.282515e-11,132,126,0
"4839",289,1.285372e-11,39,240,27
"4840",289,1.285463e-11,40,241,26
"4841",289,1.287046e-11,40,240,28
"4842",292,1.293884e-11,187,247,11
"4843",289,1.308759e-11,39,242,28
"4844",295,1.312592e-11,247,175,18
"4845",301,1.31357e-11,129,127,2
"4846",289,1.32337e-11,40,241,28
"4847",289,1.323397e-11,41,241,28
"4848",302,1.324899e-11,66,6,35
"4849",300,1.327535e-11,140,71,15
"4850",301,1.339655e-11,129,127,1
"4851",295,1.3481e-11,247,176,18
"4852",289,1.349762e-11,43,243,28
"4853",289,1.350151e-11,42,244,27
"4854",289,1.352901e-11,41,242,27
"4855",295,1.360959e-11,246,176,18
"4856",289,1.372256e-11,38,241,27
"4857",302,1.374892e-11,67,3,38
"4858",289,1.375036e-11,38,242,28
"4859",289,1.381756e-11,39,242,29
"4860",292,1.388917e-11,186,247,11
"4861",292,1.389557e-11,187,246,11
"4862",300,1.391534e-11,139,71,17
"4863",289,1.397711e-11,40,243,29
"4864",289,1.397953e-11,41,246,31
"4865",301,1.398628e-11,128,128,1
"4866",294,1.402231e-11,166,189,23
"4867",289,1.40492e-11,41,246,32
"4868",289,1.412252e-11,40,244,32
"4869",289,1.414104e-11,39,244,32
"4870",301,1.414806e-11,128,129,1
"4871",294,1.414973e-11,167,189,24
"4872",292,1.416162e-11,189,246,9
"4873",292,1.418287e-11,189,246,8
"4874",292,1.418737e-11,189,246,9
"4875",289,1.419103e-11,40,245,33
"4876",289,1.429262e-11,40,246,33
"4877",289,1.43075e-11,40,247,34
"4878",292,1.436033e-11,188,246,9
"4879",289,1.436113e-11,37,246,35
"4880",301,1.458191e-11,129,129,3
"4881",292,1.460033e-11,190,245,8
"4882",295,1.466855e-11,247,175,18
"4883",301,1.468627e-11,133,128,3
"4884",295,1.469455e-11,246,176,18
"4885",293,1.470861e-11,183,71,6
"4886",295,1.471753e-11,246,177,18
"4887",289,1.474713e-11,35,245,35
"4888",296,1.482025e-11,65,82,22
"4889",300,1.48221e-11,138,70,16
"4890",289,1.483102e-11,35,246,36
"4891",294,1.484317e-11,166,189,23
"4892",292,1.487653e-11,186,246,10
"4893",289,1.492266e-11,36,246,36
"4894",301,1.492992e-11,134,128,3
"4895",301,1.495497e-11,133,128,4
"4896",289,1.496461e-11,37,245,36
"4897",289,1.497942e-11,34,245,37
"4898",294,1.498246e-11,167,189,23
"4899",292,1.498619e-11,186,248,10
"4900",301,1.503365e-11,130,128,4
"4901",289,1.50758e-11,32,241,37
"4902",289,1.507722e-11,31,241,37
"4903",302,1.512649e-11,64,2,38
"4904",294,1.513325e-11,170,191,22
"4905",294,1.515929e-11,169,190,22
"4906",294,1.516796e-11,171,190,22
"4907",289,1.519195e-11,31,240,37
"4908",289,1.521602e-11,34,239,39
"4909",289,1.526572e-11,34,240,39
"4910",292,1.526587e-11,187,244,10
"4911",292,1.529405e-11,186,245,11
"4912",294,1.530922e-11,170,192,21
"4913",289,1.531369e-11,35,240,39
"4914",294,1.531513e-11,170,192,22
"4915",289,1.53912e-11,35,239,40
"4916",301,1.54423e-11,130,127,3
"4917",294,1.545708e-11,168,191,22
"4918",300,1.546154e-11,138,70,19
"4919",294,1.548649e-11,169,188,22
"4920",300,1.549286e-11,139,70,18
"4921",292,1.549437e-11,186,247,11
"4922",289,1.55201e-11,36,238,40
"4923",294,1.552229e-11,167,188,22
"4924",289,1.556993e-11,36,237,41
"4925",294,1.558188e-11,167,189,23
"4926",289,1.560519e-11,35,239,42
"4927",293,1.563313e-11,185,72,5
"4928",294,1.565766e-11,166,189,23
"4929",292,1.570526e-11,187,247,11
"4930",289,1.576768e-11,35,238,42
"4931",301,1.579195e-11,130,126,2
"4932",293,1.583375e-11,183,71,7
"4933",294,1.589871e-11,167,190,24
"4934",301,1.591453e-11,131,128,4
"4935",294,1.594298e-11,169,188,24
"4936",301,1.597558e-11,131,129,3
"4937",289,1.601486e-11,37,236,42
"4938",293,1.60504e-11,185,74,10
"4939",294,1.614844e-11,167,189,24
"4940",293,1.618388e-11,184,74,13
"4941",293,1.627213e-11,185,75,14
"4942",289,1.627601e-11,38,237,43
"4943",293,1.628262e-11,187,75,17
"4944",289,1.62965e-11,38,239,43
"4945",289,1.641499e-11,38,241,45
"4946",289,1.641659e-11,38,241,46
"4947",301,1.643397e-11,131,131,4
"4948",289,1.643932e-11,38,241,50
"4949",301,1.644989e-11,130,131,4
"4950",293,1.645691e-11,186,77,15
"4951",289,1.647693e-11,38,242,51
"4952",301,1.651059e-11,130,130,4
"4953",289,1.652346e-11,38,243,50
"4954",289,1.653556e-11,38,241,50
"4955",289,1.656079e-11,39,240,52
"4956",289,1.657028e-11,38,241,54
"4957",289,1.663269e-11,38,242,56
"4958",289,1.664962e-11,38,242,57
"4959",295,1.669668e-11,247,176,18
"4960",289,1.670041e-11,39,242,58
"4961",289,1.681445e-11,39,241,58
"4962",289,1.685858e-11,37,240,60
"4963",292,1.695214e-11,187,246,11
"4964",289,1.700325e-11,37,241,60
"4965",292,1.707828e-11,188,244,10
"4966",289,1.709022e-11,37,243,60
"4967",289,1.71734e-11,37,243,58
"4968",289,1.717402e-11,38,245,61
"4969",289,1.718437e-11,36,245,62
"4970",289,1.724574e-11,34,246,61
"4971",289,1.728488e-11,35,245,61
"4972",301,1.730175e-11,131,129,5
"4973",289,1.731906e-11,38,246,63
"4974",289,1.737559e-11,38,247,61
"4975",293,1.74124e-11,187,75,17
"4976",289,1.756506e-11,38,247,60
"4977",295,1.757505e-11,247,175,18
"4978",289,1.760172e-11,38,1,59
"4979",293,1.761881e-11,187,74,16
"4980",289,1.771704e-11,42,249,60
"4981",295,1.771712e-11,247,176,18
"4982",289,1.776846e-11,39,246,61
"4983",293,1.77695e-11,188,74,16
"4984",289,1.779818e-11,43,248,62
"4985",289,1.792284e-11,42,248,61
"4986",289,1.801053e-11,42,247,61
"4987",289,1.804072e-11,42,249,63
"4988",288,1.812712e-11,50,205,13
"4989",289,1.813992e-11,43,247,64
"4990",289,1.818684e-11,43,248,64
"4991",295,1.833188e-11,248,176,18
"4992",289,1.833941e-11,41,248,66
"4993",289,1.836679e-11,38,249,66
"4994",289,1.840234e-11,39,248,68
"4995",301,1.845591e-11,132,129,5
"4996",289,1.855454e-11,40,248,69
"4997",301,1.883542e-11,131,131,5
"4998",289,1.884259e-11,39,247,72
"4999",289,1.887731e-11,39,246,73
"5000",301,1.89064e-11,131,132,4
"5001",295,1.890918e-11,248,175,18
"5002",294,1.917515e-11,168,189,24
"5003",293,1.922849e-11,190,76,18
"5004",293,1.933882e-11,189,75,18
"5005",289,1.934334e-11,40,246,73
"5006",301,1.950214e-11,133,130,2
"5007",289,1.966829e-11,38,244,75
"5008",295,1.968486e-11,246,177,18
"5009",301,1.974124e-11,132,129,2
"5010",295,1.983026e-11,247,176,18
"5011",295,1.994676e-11,248,177,18
"5012",301,1.995932e-11,131,129,1
"5013",301,2.000609e-11,129,128,1
"5014",301,2.004431e-11,129,129,2
"5015",289,2.008167e-11,37,243,75
"5016",301,2.015541e-11,130,131,2
"5017",288,2.015904e-11,51,207,16
"5018",302,2.016071e-11,65,249,38
"5019",301,2.031332e-11,129,132,2
"5020",288,2.033767e-11,50,206,17
"5021",292,2.048307e-11,187,243,14
"5022",295,2.05239e-11,248,176,18
"5023",294,2.053015e-11,168,190,24
"5024",301,2.053548e-11,128,130,2
"5025",295,2.060406e-11,248,177,18
"5026",301,2.060684e-11,129,128,2
"5027",301,2.065598e-11,130,128,2
"5028",301,2.068063e-11,132,127,1
"5029",292,2.073277e-11,186,243,16
"5030",301,2.074499e-11,132,127,0
"5031",301,2.080751e-11,131,127,1
"5032",294,2.088827e-11,169,190,24
"5033",288,2.090534e-11,50,205,20
"5034",301,2.091595e-11,130,131,0
"5035",301,2.098563e-11,130,129,2
"5036",301,2.106324e-11,131,127,2
"5037",301,2.113783e-11,130,130,2
"5038",289,2.115241e-11,38,244,75
"5039",301,2.119105e-11,129,130,3
"5040",301,2.141371e-11,131,129,2
"5041",289,2.149485e-11,36,243,75
"5042",292,2.155529e-11,185,244,17
"5043",301,2.156914e-11,131,127,2
"5044",301,2.158429e-11,131,128,1
"5045",301,2.165103e-11,132,127,1
"5046",301,2.169219e-11,130,127,1
"5047",288,2.169226e-11,52,204,23
"5048",301,2.171733e-11,129,127,0
"5049",293,2.182486e-11,190,76,19
"5050",301,2.184585e-11,129,129,0
"5051",294,2.188504e-11,167,190,24
"5052",301,2.201282e-11,130,131,0
"5053",301,2.20842e-11,130,128,0
"5054",301,2.21037e-11,132,127,1
"5055",301,2.213864e-11,131,128,3
"5056",301,2.215679e-11,132,130,4
"5057",288,2.218237e-11,54,205,25
"5058",288,2.224941e-11,54,205,29
"5059",301,2.225954e-11,132,129,5
"5060",300,2.231882e-11,138,72,21
"5061",288,2.243202e-11,55,205,32
"5062",295,2.24465e-11,248,176,18
"5063",292,2.248e-11,183,244,18
"5064",292,2.256832e-11,183,246,18
"5065",295,2.257392e-11,248,177,18
"5066",292,2.263741e-11,184,247,21
"5067",288,2.264235e-11,55,203,33
"5068",292,2.265545e-11,183,246,22
"5069",293,2.280639e-11,190,76,23
"5070",289,2.281791e-11,38,244,75
"5071",288,2.282167e-11,56,205,34
"5072",292,2.282373e-11,184,246,23
"5073",294,2.296058e-11,167,192,28
"5074",301,2.305056e-11,132,129,4
"5075",292,2.305081e-11,183,248,23
"5076",288,2.305675e-11,58,204,34
"5077",301,2.310481e-11,131,131,4
"5078",294,2.316805e-11,168,194,30
"5079",294,2.333954e-11,170,195,32
"5080",301,2.333975e-11,131,131,1
"5081",292,2.335224e-11,184,246,23
"5082",301,2.337749e-11,129,129,3
"5083",294,2.355456e-11,171,191,33
"5084",292,2.35629e-11,184,245,24
"5085",301,2.362437e-11,133,131,2
"5086",303,2.364072e-11,107,69,4
"5087",289,2.367288e-11,38,245,75
"5088",301,2.36836e-11,132,133,2
"5089",301,2.369338e-11,129,133,2
"5090",293,2.371872e-11,189,75,24
"5091",295,2.371896e-11,246,175,18
"5092",289,2.376947e-11,37,245,75
"5093",295,2.378998e-11,248,177,18
"5094",301,2.379509e-11,130,132,2
"5095",295,2.382612e-11,248,176,18
"5096",301,2.38504e-11,130,131,2
"5097",301,2.398587e-11,132,135,0
"5098",288,2.413948e-11,57,205,36
"5099",301,2.418144e-11,130,134,1
"5100",292,2.437267e-11,186,244,25
"5101",292,2.443194e-11,186,242,28
"5102",303,2.44616e-11,106,68,8
"5103",289,2.448403e-11,36,243,75
"5104",288,2.450102e-11,58,208,39
"5105",292,2.454295e-11,186,242,30
"5106",301,2.472936e-11,129,133,1
"5107",301,2.473562e-11,131,133,2
"5108",295,2.476649e-11,248,177,18
"5109",301,2.482744e-11,134,133,3
"5110",293,2.500798e-11,188,75,26
"5111",301,2.509381e-11,134,134,2
"5112",288,2.509693e-11,60,209,41
"5113",288,2.511577e-11,61,209,42
"5114",301,2.511898e-11,135,133,2
"5115",288,2.513569e-11,60,212,40
"5116",289,2.51866e-11,36,244,75
"5117",303,2.524199e-11,105,68,12
"5118",289,2.528745e-11,36,245,75
"5119",288,2.53726e-11,60,211,40
"5120",303,2.548153e-11,103,69,11
"5121",293,2.550103e-11,189,75,26
"5122",294,2.550785e-11,171,190,32
"5123",301,2.553906e-11,136,130,2
"5124",293,2.554714e-11,189,80,26
"5125",301,2.560704e-11,135,130,2
"5126",301,2.561073e-11,135,130,3
"5127",303,2.579578e-11,101,72,11
"5128",301,2.582874e-11,134,132,4
"5129",301,2.593109e-11,132,130,5
"5130",289,2.609096e-11,38,245,75
"5131",301,2.613083e-11,133,128,4
"5132",301,2.635431e-11,133,130,2
"5133",301,2.637018e-11,132,129,4
"5134",301,2.642764e-11,131,129,5
"5135",303,2.65105e-11,104,72,12
"5136",295,2.746472e-11,246,175,18
"5137",301,2.748925e-11,132,129,5
"5138",295,2.75247e-11,246,177,18
"5139",301,2.753018e-11,133,130,5
"5140",289,2.754515e-11,38,243,75
"5141",292,2.75773e-11,187,240,31
"5142",301,2.777171e-11,133,128,4
"5143",301,2.805418e-11,134,128,4
"5144",301,2.870905e-11,133,131,5
"5145",295,2.872999e-11,248,175,18
"5146",300,2.984918e-11,140,68,22
"5147",294,2.997069e-11,172,191,32
"5148",289,3.00277e-11,36,245,75
"5149",294,3.01029e-11,171,190,36
"5150",294,3.014237e-11,171,190,37
"5151",301,3.045783e-11,132,129,5
"5152",289,3.047926e-11,36,244,75
"5153",294,3.054065e-11,172,190,36
"5154",294,3.05775e-11,173,193,38
"5155",289,3.057912e-11,36,245,75
"5156",303,3.06468e-11,105,73,13
"5157",294,3.068206e-11,173,190,39
"5158",301,3.085417e-11,131,129,5
"5159",289,3.101153e-11,37,245,75
"5160",289,3.125148e-11,36,244,75
"5161",294,3.142306e-11,172,189,40
"5162",289,3.144855e-11,36,245,75
"5163",295,3.154369e-11,248,176,18
"5164",303,3.158066e-11,102,73,16
"5165",303,3.159077e-11,100,75,17
"5166",303,3.159923e-11,99,74,18
"5167",295,3.166816e-11,246,177,18
"5168",289,3.171714e-11,36,244,75
"5169",294,3.172544e-11,169,188,41
"5170",295,3.17256e-11,247,177,18
"5171",289,3.179265e-11,36,245,75
"5172",303,3.18338e-11,97,72,21
"5173",295,3.188851e-11,246,177,18
"5174",303,3.198315e-11,96,69,22
"5175",302,3.200477e-11,64,248,40
"5176",294,3.202689e-11,169,187,41
"5177",289,3.225748e-11,36,243,75
"5178",303,3.228128e-11,95,69,24
"5179",293,3.232524e-11,185,80,26
"5180",303,3.2517e-11,95,69,27
"5181",293,3.258587e-11,184,78,27
"5182",301,3.293489e-11,132,129,5
"5183",303,3.313186e-11,97,72,28
"5184",303,3.320212e-11,96,73,30
"5185",301,3.32081e-11,131,130,5
"5186",295,3.335918e-11,247,175,18
"5187",289,3.3411e-11,34,245,79
"5188",289,3.344186e-11,34,245,80
"5189",289,3.346617e-11,35,244,82
"5190",300,3.3481e-11,141,68,25
"5191",295,3.365379e-11,247,177,18
"5192",289,3.366036e-11,35,243,84
"5193",301,3.376941e-11,131,131,5
"5194",301,3.393904e-11,131,130,5
"5195",294,3.422559e-11,166,185,43
"5196",303,3.42677e-11,96,71,32
"5197",295,3.431408e-11,248,177,18
"5198",303,3.441291e-11,94,68,31
"5199",301,3.492419e-11,131,130,4
"5200",301,3.496212e-11,131,128,3
"5201",301,3.504523e-11,130,126,2
"5202",301,3.510625e-11,132,127,3
"5203",289,3.516063e-11,35,242,85
"5204",301,3.520089e-11,132,129,5
"5205",303,3.52141e-11,97,68,34
"5206",292,3.534165e-11,187,239,35
"5207",289,3.550099e-11,34,244,86
"5208",303,3.550503e-11,97,68,38
"5209",303,3.56003e-11,98,68,38
"5210",289,3.570518e-11,37,246,88
"5211",289,3.575877e-11,38,243,91
"5212",295,3.578552e-11,246,177,18
"5213",289,3.578895e-11,40,241,93
"5214",289,3.579651e-11,39,241,94
"5215",295,3.585624e-11,247,177,18
"5216",289,3.590793e-11,41,239,98
"5217",301,3.59094e-11,130,128,4
"5218",295,3.592564e-11,247,175,18
"5219",303,3.597597e-11,99,67,38
"5220",289,3.601989e-11,40,240,98
"5221",289,3.602594e-11,39,241,102
"5222",289,3.612184e-11,38,241,102
"5223",289,3.612197e-11,37,240,102
"5224",300,3.616535e-11,140,70,28
"5225",289,3.617371e-11,38,241,103
"5226",302,3.63039e-11,60,0,42
"5227",289,3.635452e-11,37,240,106
"5228",289,3.636498e-11,38,240,107
"5229",303,3.639121e-11,96,65,39
"5230",296,3.647578e-11,65,81,21
"5231",301,3.647936e-11,128,128,2
"5232",289,3.652387e-11,37,240,108
"5233",303,3.653404e-11,97,64,39
"5234",295,3.656418e-11,246,175,17
"5235",289,3.658195e-11,39,243,109
"5236",294,3.65891e-11,165,183,45
"5237",302,3.660464e-11,61,0,42
"5238",289,3.660651e-11,37,244,109
"5239",289,3.662897e-11,35,245,108
"5240",288,3.663343e-11,62,213,42
"5241",289,3.666037e-11,35,245,107
"5242",289,3.676026e-11,35,246,110
"5243",301,3.677939e-11,129,128,3
"5244",294,3.684183e-11,162,184,45
"5245",289,3.686288e-11,38,245,110
"5246",303,3.690944e-11,96,63,39
"5247",289,3.692631e-11,37,246,110
"5248",289,3.694256e-11,36,246,111
"5249",289,3.701473e-11,37,244,114
"5250",295,3.704102e-11,245,175,17
"5251",301,3.709568e-11,130,126,1
"5252",289,3.714454e-11,37,247,115
"5253",300,3.726995e-11,140,70,32
"5254",294,3.727432e-11,163,184,47
"5255",295,3.728412e-11,246,177,18
"5256",289,3.728491e-11,39,244,114
"5257",289,3.728683e-11,40,244,117
"5258",301,3.728845e-11,131,130,1
"5259",301,3.729393e-11,131,130,2
"5260",289,3.731678e-11,42,244,120
"5261",301,3.732324e-11,131,128,4
"5262",289,3.73392e-11,42,243,120
"5263",294,3.735645e-11,161,182,47
"5264",289,3.739147e-11,44,241,121
"5265",301,3.739501e-11,129,128,3
"5266",289,3.744946e-11,41,241,122
"5267",289,3.747195e-11,39,242,123
"5268",300,3.747335e-11,142,70,36
"5269",289,3.747713e-11,40,243,120
"5270",289,3.750122e-11,42,244,121
"5271",300,3.752816e-11,143,73,37
"5272",301,3.760374e-11,129,129,3
"5273",300,3.765054e-11,144,74,36
"5274",301,3.765657e-11,130,127,1
"5275",301,3.766139e-11,132,126,2
"5276",301,3.767598e-11,134,126,2
"5277",289,3.773404e-11,41,244,122
"5278",289,3.776728e-11,40,243,122
"5279",295,3.778859e-11,248,176,18
"5280",294,3.780455e-11,159,184,49
"5281",289,3.78095e-11,39,242,122
"5282",289,3.783947e-11,42,243,120
"5283",295,3.786656e-11,247,176,18
"5284",301,3.788486e-11,133,125,0
"5285",289,3.80421e-11,43,243,121
"5286",289,3.806559e-11,44,243,121
"5287",289,3.810648e-11,41,243,121
"5288",289,3.813531e-11,40,245,121
"5289",289,3.815563e-11,39,245,121
"5290",289,3.816781e-11,41,245,122
"5291",301,3.818554e-11,133,127,2
"5292",301,3.821591e-11,132,128,1
"5293",301,3.825458e-11,131,128,0
"5294",301,3.828705e-11,134,131,2
"5295",289,3.829009e-11,43,245,122
"5296",289,3.829542e-11,44,245,123
"5297",289,3.830735e-11,44,244,121
"5298",289,3.831507e-11,42,242,121
"5299",302,3.835142e-11,61,1,45
"5300",301,3.835395e-11,135,132,2
"5301",289,3.838594e-11,42,243,121
"5302",301,3.838711e-11,134,131,1
"5303",289,3.84057e-11,41,243,121
"5304",294,3.841459e-11,160,181,48
"5305",295,3.841691e-11,246,176,18
"5306",289,3.842831e-11,41,242,121
"5307",289,3.844059e-11,39,244,121
"5308",301,3.844064e-11,131,128,0
"5309",301,3.85025e-11,130,131,2
"5310",301,3.850643e-11,130,132,2
"5311",295,3.851162e-11,247,175,18
"5312",289,3.855804e-11,39,245,121
"5313",294,3.858492e-11,161,179,48
"5314",289,3.859052e-11,40,247,119
"5315",289,3.863527e-11,40,249,120
"5316",289,3.863787e-11,38,249,121
"5317",289,3.866281e-11,39,0,121
"5318",301,3.866393e-11,129,130,0
"5319",296,3.875093e-11,65,82,22
"5320",301,3.879678e-11,129,130,1
"5321",301,3.880206e-11,129,129,0
"5322",301,3.883829e-11,129,128,1
"5323",289,3.884322e-11,42,1,121
"5324",289,3.886093e-11,43,1,122
"5325",289,3.887049e-11,44,2,123
"5326",295,3.889001e-11,246,177,18
"5327",289,3.897948e-11,47,2,124
"5328",301,3.89816e-11,129,130,1
"5329",301,3.912258e-11,129,129,1
"5330",301,3.920616e-11,129,128,2
"5331",301,3.924239e-11,129,132,2
"5332",301,3.92666e-11,129,133,0
"5333",301,3.926839e-11,130,130,3
"5334",289,3.928333e-11,44,248,124
"5335",301,3.929626e-11,131,131,2
"5336",301,3.935551e-11,132,130,5
"5337",289,3.938667e-11,43,247,124
"5338",289,3.941414e-11,45,245,124
"5339",289,3.94891e-11,45,247,125
"5340",289,3.94949e-11,45,244,128
"5341",289,3.950236e-11,46,243,128
"5342",289,3.962767e-11,47,243,128
"5343",301,3.97014e-11,131,131,5
"5344",289,3.979418e-11,46,243,128
"5345",289,3.982683e-11,43,245,127
"5346",301,3.986194e-11,131,130,5
"5347",289,3.98777e-11,42,249,129
"5348",289,3.98796e-11,40,249,131
"5349",289,3.994255e-11,42,248,132
"5350",302,4.003237e-11,64,249,47
"5351",302,4.006831e-11,61,248,46
"5352",303,4.007705e-11,96,63,44
"5353",303,4.010679e-11,99,63,43
"5354",301,4.019206e-11,131,129,5
"5355",293,4.047775e-11,183,82,27
"5356",289,4.050105e-11,44,248,132
"5357",289,4.054615e-11,47,248,132
"5358",301,4.059706e-11,131,130,5
"5359",289,4.061737e-11,45,0,133
"5360",294,4.069989e-11,164,176,48
"5361",289,4.07435e-11,45,248,133
"5362",289,4.07437e-11,45,247,134
"5363",289,4.077571e-11,46,247,134
"5364",289,4.081854e-11,45,245,135
"5365",289,4.086444e-11,46,244,137
"5366",302,4.115931e-11,59,246,46
"5367",292,4.128128e-11,191,237,37
"5368",301,4.128446e-11,132,131,5
"5369",289,4.154291e-11,47,245,138
"5370",301,4.15862e-11,133,129,5
"5371",292,4.162279e-11,191,237,40
"5372",289,4.167956e-11,46,245,139
"5373",289,4.18572e-11,48,247,142
"5374",292,4.186693e-11,193,236,39
"5375",289,4.215829e-11,49,248,142
"5376",289,4.221666e-11,46,246,144
"5377",289,4.222617e-11,44,246,144
"5378",301,4.225568e-11,133,130,5
"5379",289,4.228017e-11,44,246,145
"5380",289,4.238537e-11,45,247,145
"5381",289,4.244545e-11,45,249,145
"5382",289,4.244545e-11,46,249,145
"5383",293,4.252883e-11,182,83,28
"5384",292,4.257258e-11,196,237,40
"5385",289,4.274691e-11,47,248,146
"5386",289,4.291166e-11,48,248,146
"5387",289,4.291439e-11,46,248,145
"5388",289,4.29866e-11,43,248,148
"5389",289,4.298718e-11,42,247,150
"5390",289,4.307928e-11,43,247,151
"5391",289,4.322547e-11,43,247,150
"5392",289,4.323038e-11,46,248,153
"5393",289,4.324913e-11,46,245,155
"5394",289,4.326269e-11,45,244,156
"5395",289,4.331512e-11,45,242,157
"5396",300,4.333182e-11,142,74,37
"5397",295,4.336117e-11,246,176,18
"5398",289,4.336823e-11,46,243,159
"5399",295,4.340175e-11,247,175,18
"5400",289,4.343069e-11,47,242,159
"5401",289,4.345062e-11,48,239,161
"5402",302,4.347382e-11,62,245,48
"5403",292,4.356768e-11,193,235,40
"5404",294,4.365415e-11,165,172,50
"5405",289,4.365785e-11,49,239,161
"5406",301,4.367792e-11,132,131,5
"5407",289,4.379025e-11,46,241,164
"5408",289,4.384635e-11,44,239,166
"5409",294,4.384692e-11,165,173,52
"5410",301,4.390677e-11,131,130,5
"5411",301,4.404072e-11,133,131,5
"5412",289,4.404563e-11,45,239,169
"5413",300,4.412864e-11,141,73,39
"5414",303,4.414682e-11,99,63,45
"5415",302,4.418281e-11,64,246,48
"5416",289,4.420754e-11,49,240,170
"5417",289,4.427928e-11,50,239,170
"5418",289,4.432479e-11,51,240,172
"5419",289,4.434763e-11,52,241,173
"5420",289,4.443189e-11,53,242,174
"5421",300,4.460636e-11,144,74,41
"5422",295,4.464326e-11,246,175,18
"5423",289,4.46475e-11,56,245,173
"5424",289,4.47855e-11,54,245,173
"5425",289,4.479888e-11,55,246,173
"5426",295,4.480435e-11,247,175,18
"5427",293,4.483442e-11,183,85,28
"5428",289,4.484839e-11,55,247,175
"5429",295,4.500017e-11,248,177,18
"5430",289,4.501935e-11,53,245,178
"5431",289,4.504745e-11,53,244,179
"5432",289,4.505224e-11,53,245,179
"5433",289,4.531703e-11,52,242,181
"5434",301,4.534274e-11,133,130,5
"5435",289,4.537523e-11,54,242,181
"5436",289,4.541097e-11,54,241,183
"5437",289,4.542048e-11,54,242,183
"5438",289,4.546708e-11,52,246,185
"5439",292,4.547937e-11,194,236,43
"5440",289,4.548761e-11,50,247,187
