C11,C12,C13,C22,C23,C33
1.041667967,0.307564154,4.09E-13,1.041667967,4.18E-13,0.358451451
1.049869127,0.310799527,4.11E-13,1.049869127,4.12E-13,0.362307711
1.057502232,0.313794023,4.10E-13,1.057502232,4.08E-13,0.365866834
1.064545785,0.316542214,4.10E-13,1.064545785,4.13E-13,0.369125129
1.070979594,0.319039224,4.08E-13,1.070979594,4.14E-13,0.372079349
1.076784903,0.321280712,4.09E-13,1.076784903,4.10E-13,0.374726656
1.081944522,0.323262858,4.16E-13,1.081944522,4.14E-13,0.377064587
1.086442943,0.324982348,4.16E-13,1.086442943,4.20E-13,0.379091018
1.090266437,0.326436356,4.14E-13,1.090266437,4.15E-13,0.380804133
1.093403132,0.327622538,4.17E-13,1.093403132,4.17E-13,0.382202379
1.098901099,0.32967033,4.13E-13,1.098901099,4.14E-13,0.384615385
1.10E-09,3.30E-10,4.12E-22,1.10E-09,4.17E-22,3.85E-10
0.012595239,0.002577968,1.23E-14,0.012595239,1.20E-14,0.002522589
0.027876887,0.007824875,2.95E-14,0.027876887,2.80E-14,0.007581612
0.043345046,0.013224331,4.55E-14,0.043345046,4.54E-14,0.012676589
0.05901381,0.018769059,6.21E-14,0.05901381,5.93E-14,0.017823506
0.07489848,0.024451993,7.59E-14,0.07489848,7.30E-14,0.023036326
0.091015192,0.030265895,9.21E-14,0.091015192,8.85E-14,0.02832927
0.107380864,0.03620313,1.06E-13,0.107380864,1.06E-13,0.033717145
0.124013221,0.042255585,1.19E-13,0.124013221,1.19E-13,0.039215353
0.140930828,0.048414638,1.34E-13,0.140930828,1.34E-13,0.044839861
0.158153113,0.054671152,1.49E-13,0.158153113,1.43E-13,0.05060715
0.175700375,0.061015474,1.61E-13,0.175700375,1.59E-13,0.056534146
0.193593784,0.067437463,1.69E-13,0.193593784,1.74E-13,0.062638118
0.211855353,0.073926524,1.86E-13,0.211855353,1.87E-13,0.068936546
0.230507893,0.080471678,2.00E-13,0.230507893,2.00E-13,0.075446958
0.249574938,0.087061655,2.09E-13,0.249574938,2.07E-13,0.082186715
0.269080636,0.093685024,2.25E-13,0.269080636,2.22E-13,0.089172752
0.289049594,0.100330368,2.34E-13,0.289049594,2.34E-13,0.096421272
0.309506684,0.106986503,2.44E-13,0.309506684,2.45E-13,0.103947384
0.330476783,0.113642751,2.57E-13,0.330476783,2.50E-13,0.111764676
0.351984444,0.120289271,2.60E-13,0.351984444,2.66E-13,0.119884752
0.374053492,0.12691745,2.76E-13,0.374053492,2.72E-13,0.128316691
0.396706549,0.133520398,2.81E-13,0.396706549,2.80E-13,0.137066469
0.419964542,0.140093588,2.93E-13,0.419964542,3.00E-13,0.146136339
0.443846255,0.14663571,2.96E-13,0.443846255,3.04E-13,0.155524194
0.468368034,0.153149773,3.07E-13,0.468368034,3.08E-13,0.165222988
0.493543699,0.159644419,3.20E-13,0.493543699,3.20E-13,0.17522026
0.519384681,0.166135312,3.23E-13,0.519384681,3.23E-13,0.185497866
0.545900267,0.172646361,3.37E-13,0.545900267,3.31E-13,0.196031951
0.573097747,0.179210465,3.42E-13,0.573097747,3.34E-13,0.206793185
0.600982077,0.185869447,3.51E-13,0.600982077,3.50E-13,0.217747208
0.629554626,0.192672867,3.52E-13,0.629554626,3.57E-13,0.22885518
0.658810473,0.199675514,3.56E-13,0.658810473,3.59E-13,0.240074281
0.688733818,0.206933473,3.73E-13,0.688733818,3.69E-13,0.251358032
