VF,Class
0.96295,8
0.9685,8
0.9736,8
0.97825,8
0.98245,8
0.9862,8
0.9895,8
0.99235,8
0.99475,8
0.9967,8
0.9982,8
1,8
0,9
0.0493,9
0.0782,9
0.1066,9
0.1345,9
0.1619,9
0.1888,9
0.2152,9
0.2411,9
0.2665,9
0.2914,9
0.3158,9
0.3397,9
0.3631,9
0.386,9
0.4084,9
0.4303,9
0.4517,9
0.4726,9
0.493,9
0.5129,9
0.5323,9
0.5512,9
0.5696,9
0.5875,9
0.6049,9
0.6218,9
0.6382,9
0.6541,9
0.6695,9
0.6844,9
0.6988,9
0.7127,9
0.7261,9
0.739,9
0.7514,9
0.7633,9
0.7747,9
0.7856,9
0.796,9
0.8059,9
0.8242,9
0.8326,9
0.8405,9
0.8548,9
0.8612,9
0.8725,9
0.8824,9
0.8965,9
0.901,9
0.9054,9
0.9097,9
0.9139,9
0.918,9
0.922,9
0.9259,9
0.9297,9
0.9334,9
0.937,9
0.9405,9
0.9439,9
0.9472,9
0.9504,9
0.9535,9
0.9565,9
0.9594,9
0.9622,9
0.9649,9
0.9675,9
0.97,9
0.9724,9
0.9747,9
0.9769,9
0.979,9
0.981,9
0.9829,9
0.9847,9
0.9864,9
0.988,9
0.9895,9
0.9909,9
0.9922,9
0.9934,9
0.9955,9
0.9964,9
0.9972,9
0.9985,9
1,9
0,10
0.0493,10
0.0782,10
0.1066,10
0.1345,10
0.1619,10
0.1888,10
0.2152,10
0.2411,10
0.2665,10
0.2914,10
0.3158,10
0.3397,10
0.3631,10
0.386,10
0.4084,10
0.4303,10
0.4517,10
0.4726,10
0.493,10
0.5129,10
0.5323,10
0.5512,10
0.5696,10
0.5875,10
0.6049,10
0.6218,10
0.6382,10
0.6541,10
0.6695,10
0.6844,10
0.6988,10
0.7127,10
0.7261,10
0.739,10
0.7514,10
0.7633,10
0.7747,10
0.7856,10
0.796,10
0.8059,10
0.8242,10
0.8326,10
0.8405,10
0.8548,10
0.8612,10
0.8725,10
0.8824,10
0.8965,10
0.901,10
0.9054,10
0.9097,10
0.9139,10
0.918,10
0.922,10
0.9259,10
0.9297,10
0.9334,10
0.937,10
0.9405,10
0.9439,10
0.9472,10
0.9504,10
0.9535,10
0.9565,10
0.9594,10
0.9622,10
0.9649,10
0.9675,10
0.97,10
0.9724,10
0.9747,10
0.9769,10
0.979,10
0.981,10
0.9829,10
0.9847,10
0.9864,10
0.988,10
0.9895,10
0.9909,10
0.9922,10
0.9934,10
0.9955,10
0.9964,10
0.9972,10
0.9985,10
1,10
0,4
0.0298,4
0.0494,4
0.0785,4
0.0976,4
0.126,4
0.1446,4
0.1723,4
0.1904,4
0.2174,4
0.235,4
0.2613,4
0.2784,4
0.304,4
0.3206,4
0.3455,4
0.3616,4
0.3858,4
0.4014,4
0.4249,4
0.44,4
0.4628,4
0.4774,4
0.4995,4
0.5136,4
0.535,4
0.5486,4
0.5693,4
0.5824,4
0.6024,4
0.615,4
0.6343,4
0.6464,4
0.665,4
0.6766,4
0.6945,4
0.7056,4
0.7228,4
0.7334,4
0.7499,4
0.76,4
0.7758,4
0.7854,4
0.8005,4
0.8096,4
0.824,4
0.8326,4
0.8463,4
0.8544,4
0.8674,4
0.875,4
0.8873,4
0.8944,4
0.906,4
0.9126,4
0.9235,4
0.9296,4
0.9398,4
0.9454,4
0.9549,4
0.96,4
0.9688,4
0.9734,4
0.9815,4
0.9856,4
0.993,4
0.9966,4
1,4
0,5
0.0298,5
0.0494,5
0.0785,5
0.0976,5
0.126,5
0.1446,5
0.1723,5
0.1904,5
0.2174,5
0.235,5
0.2613,5
0.2784,5
0.304,5
0.3206,5
0.3455,5
0.3616,5
0.3858,5
0.4014,5
0.4249,5
0.44,5
0.4628,5
0.4774,5
0.4995,5
0.5136,5
0.535,5
0.5486,5
0.5693,5
0.5824,5
0.6024,5
0.615,5
0.6343,5
0.6464,5
0.665,5
0.6766,5
0.6945,5
0.7056,5
0.7228,5
0.7334,5
0.7499,5
0.76,5
0.7758,5
0.7854,5
0.8005,5
0.8096,5
0.824,5
0.8326,5
0.8463,5
0.8544,5
0.8674,5
0.875,5
0.8873,5
0.8944,5
0.906,5
0.9126,5
0.9235,5
0.9296,5
0.9398,5
0.9454,5
0.9549,5
0.96,5
0.9688,5
0.9734,5
0.9815,5
0.9856,5
0.993,5
0.9966,5
1,5
