"","struct_idx","eig_idx","wavevector_idx1","wavevector_idx2","frequency"
"20807",2,1,1,1,417.223330444734
"20808",2,1,2,1,417.193733619636
"20809",2,1,3,1,417.105081906613
"20810",2,1,4,1,416.957794857855
"20811",2,1,5,1,416.752581972316
"20812",2,1,6,1,416.490455945039
"20813",2,1,7,1,416.172747383407
"20814",2,1,8,1,415.801117998253
"20815",2,1,9,1,415.377569400697
"20816",2,1,10,1,414.904445168172
"20817",2,1,11,1,414.384424647047
"20818",2,1,12,1,413.820507863099
"20819",2,1,13,1,413.215991764698
"20820",2,1,14,1,412.57443871593
"20821",2,1,15,1,411.899638635194
"20822",2,1,16,1,411.195566429845
"20823",2,1,17,1,410.46633643931
"20824",2,1,18,1,409.716155514423
"20825",2,1,19,1,408.94927618207
"20826",2,1,20,1,408.169951116264
"20827",2,1,21,1,407.382389897234
"20828",2,1,22,1,406.590718812186
"20829",2,1,23,1,405.798944248764
"20830",2,1,24,1,405.010920061547
"20831",2,1,25,1,404.230319151906
"20832",2,1,26,1,403.460609390865
"20833",2,1,27,1,402.705033926451
"20834",2,1,28,1,401.966595849451
"20835",2,1,29,1,401.248047135448
"20836",2,1,30,1,400.551881737587
"20837",2,1,31,1,399.880332665915
"20838",2,1,32,1,399.235372855744
"20839",2,1,33,1,398.618719596761
"20840",2,1,34,1,398.031842265364
"20841",2,1,35,1,397.475973074437
"20842",2,1,36,1,396.952120527879
"20843",2,1,37,1,396.46108524095
"20844",2,1,38,1,396.003477764187
"20845",2,1,39,1,395.579738025647
"20846",2,1,40,1,395.190155988982
"20847",2,1,41,1,394.834893109287
"20848",2,1,42,1,394.514004159803
"20849",2,1,43,1,394.227458997992
"20850",2,1,44,1,393.975163842336
"20851",2,1,45,1,393.756981640698
"20852",2,1,46,1,393.572751127637
"20853",2,1,47,1,393.422304192474
"20854",2,1,48,1,393.305481212356
"20855",2,1,49,1,393.222144042797
"20856",2,1,50,1,393.172186404505
"20857",2,1,51,1,393.15554145693
"20858",2,1,1,2,411.505325462182
"20859",2,1,2,2,411.425524320116
"20860",2,1,3,2,411.311787286015
"20861",2,1,4,2,411.167101152785
"20862",2,1,5,2,410.994080211059
"20863",2,1,6,2,410.794920738659
