"","struct_idx","eig_idx","wavevector_idx1","wavevector_idx2","frequency"
"21285310",1024,1,24,3,1622.82795561054
"21285311",1024,1,25,3,1623.03444242212
"21285312",1024,1,26,3,1623.27027725202
"21285313",1024,1,27,3,1623.53634774445
"21285314",1024,1,28,3,1623.83249798427
"21285315",1024,1,29,3,1624.15753364955
"21285316",1024,1,30,3,1624.50927172344
"21285317",1024,1,31,3,1624.88462782957
"21285318",1024,1,32,3,1625.27973290209
"21285319",1024,1,33,3,1625.69007043041
"21285320",1024,1,34,3,1626.11062580684
"21285321",1024,1,35,3,1626.53604015557
"21285322",1024,1,36,3,1626.96076220038
"21285323",1024,1,37,3,1627.37919301874
"21285324",1024,1,38,3,1627.78581975779
"21285325",1024,1,39,3,1628.17533544058
"21285326",1024,1,40,3,1628.54274282515
"21285327",1024,1,41,3,1628.88344091017
"21285328",1024,1,42,3,1629.19329316883
"21285329",1024,1,43,3,1629.4686770284
"21285330",1024,1,44,3,1629.70651458996
"21285331",1024,1,45,3,1629.9042851817
"21285332",1024,1,46,3,1630.06002109816
"21285333",1024,1,47,3,1630.17228877626
"21285334",1024,1,48,3,1630.24015860702
"21285335",1024,1,49,3,1630.26316742384
"21285336",1024,1,50,3,1630.24127825159
"21285337",1024,1,51,3,1630.17484196211
"21285338",1024,1,1,4,1618.24047808052
"21285339",1024,1,2,4,1618.36245983835
"21285340",1024,1,3,4,1618.50143184513
"21285341",1024,1,4,4,1618.65522737808
"21285342",1024,1,5,4,1618.82110236097
"21285343",1024,1,6,4,1618.99586439779
"21285344",1024,1,7,4,1619.17603566136
"21285345",1024,1,8,4,1619.35804335486
"21285346",1024,1,9,4,1619.53842901938
"21285347",1024,1,10,4,1619.71406544625
"21285348",1024,1,11,4,1619.88236779167
"21285349",1024,1,12,4,1620.04148416991
"21285350",1024,1,13,4,1620.19045095315
"21285351",1024,1,14,4,1620.3292994886
"21285352",1024,1,15,4,1620.45910395678
"21285353",1024,1,16,4,1620.5819643559
"21285354",1024,1,17,4,1620.70092361131
"21285355",1024,1,18,4,1620.81982297042
"21285356",1024,1,19,4,1620.94310457717
"21285357",1024,1,20,4,1621.07557396975
"21285358",1024,1,21,4,1621.2221379204
"21285359",1024,1,22,4,1621.38753440176
"21285360",1024,1,23,4,1621.57607150697
"21285361",1024,1,24,4,1621.79139093973
"21285362",1024,1,25,4,1622.036269366
"21285363",1024,1,26,4,1622.31246769328
"21285364",1024,1,27,4,1622.62063450572
"21285365",1024,1,28,4,1622.96026579578
"21285366",1024,1,29,4,1623.32971919438
"21285367",1024,1,30,4,1623.72627749113
"21285368",1024,1,31,4,1624.14625365289
"21285369",1024,1,32,4,1624.58512795915
"21285370",1024,1,33,4,1625.03770728856
"21285371",1024,1,34,4,1625.49829688893
"21285372",1024,1,35,4,1625.96087591901
"21285373",1024,1,36,4,1626.41926940048
"21285374",1024,1,37,4,1626.86731070985
"21285375",1024,1,38,4,1627.29899016998
"21285376",1024,1,39,4,1627.70858654079
