"","C11","C12","C22","C16","C26","C66","norm_density","Label"
"67",0.58523874,0.45562902,0.58523874,0,0,0.45485115,0.866666666666667,"A"
"68",0.53056814,0.38348021,0.53056814,0,0,0.29643466,0.8,"A"
"69",0.65401482,0.56159433,0.65401482,0,0,0.66683326,0.866666666666667,"A"
"70",0.57874637,0.4603733,0.57874637,0,0,0.49882337,0.8,"A"
"71",0.49167243,0.32509079,0.49167243,0,0,0.24543398,0.8,"A"
"72",0.48674493,0.316802,0.48674493,0,0,0.24364198,0.733333333333333,"B"
"73",0.57348308,0.47712069,0.57348308,0,0,0.59995613,0.866666666666667,"A"
"74",0.52045876,0.37615292,0.52045876,0,0,0.30496535,0.8,"A"
"75",0.3649752,0.2640649,0.3649752,0,0,0.35816082,0.8,"A"
"76",0.27910915,0.163897,0.27910915,0,0,0.17437362,0.733333333333333,"B"
"77",0.43642473,0.35796118,0.43642473,0,0,0.48731157,0.8,"A"
"78",0.40088831,0.3015872,0.40088831,0,0,0.25779165,0.733333333333333,"B"
"79",0.2779761,0.16604816,0.2779761,0,0,0.17604312,0.733333333333333,"B"
"80",0.27458609,0.16028398,0.27458609,0,0,0.17321947,0.666666666666667,"B"
"81",0.49389279,0.42913103,0.49389279,0,0,0.58939207,0.866666666666667,"A"
"82",0.46677515,0.38943626,0.46677515,0,0,0.46637667,0.8,"A"
"83",0.4151763,0.32711688,0.4151763,0,0,0.40168267,0.8,"A"
"84",0.37914391,0.27189963,0.37914391,0,0,0.25661298,0.733333333333333,"B"
"85",0.41648141,0.33148354,0.41648141,0,0,0.44972441,0.8,"A"
"86",0.38183007,0.29774089,0.38183007,0,0,0.41650603,0.733333333333333,"B"
"87",0.31612174,0.19251418,0.31612174,0,0,0.15841908,0.733333333333333,"B"
"88",0.31113479,0.18512956,0.31113479,0,0,0.15815814,0.666666666666667,"B"
"89",0.3547719,0.26737009,0.3547719,0,0,0.3524018,0.8,"A"
"90",0.3479656,0.25590293,0.3479656,0,0,0.24628505,0.733333333333333,"B"
"91",0.31084139,0.23513146,0.31084139,0,0,0.28404347,0.733333333333333,"B"
"92",0.27107501,0.15532414,0.27107501,0,0,0.15325613,0.666666666666667,"B"
"93",0.27544797,0.16516041,0.27544797,0,0,0.16402899,0.733333333333333,"B"
"94",0.27492856,0.16413619,0.27492856,0,0,0.15870122,0.666666666666667,"B"
"95",0.26954598,0.1541865,0.26954598,0,0,0.15336585,0.666666666666667,"B"
"96",0.26758417,0.15023049,0.26758417,0,0,0.15244343,0.6,"B"
"97",0.64689871,0.55155813,0.64689871,0,0,0.66903996,0.866666666666667,"A"
"98",0.59204405,0.47498752,0.59204405,0,0,0.51278069,0.8,"A"
"99",0.51600675,0.39810472,0.51600675,0,0,0.41761716,0.8,"A"
"100",0.46653027,0.34365794,0.46653027,0,0,0.28457768,0.733333333333333,"B"
"101",0.56274571,0.48483555,0.56274571,0,0,0.61516513,0.8,"A"
"102",0.48853946,0.39778529,0.48853946,0,0,0.47258908,0.733333333333333,"B"
"103",0.40712632,0.26821972,0.40712632,0,0,0.21880633,0.733333333333333,"B"
"104",0.40220441,0.26023581,0.40220441,0,0,0.21724747,0.666666666666667,"B"
"105",0.51672145,0.38610977,0.51672145,0,0,0.46973014,0.8,"A"
"106",0.47787722,0.3178594,0.47787722,0,0,0.26211065,0.733333333333333,"B"
"107",0.35125326,0.24129775,0.35125326,0,0,0.29629515,0.733333333333333,"B"
"108",0.26885702,0.14721732,0.26885702,0,0,0.15059251,0.666666666666667,"B"
"109",0.40665441,0.31761402,0.40665441,0,0,0.41031831,0.733333333333333,"B"
"110",0.37391732,0.27194066,0.37391732,0,0,0.20898032,0.666666666666667,"B"
"111",0.26724744,0.14849667,0.26724744,0,0,0.15078631,0.666666666666667,"B"
"112",0.2639964,0.14279185,0.2639964,0,0,0.14825494,0.6,"B"
"113",0.40539355,0.31349359,0.40539355,0,0,0.4474036,0.8,"A"
"114",0.38712522,0.29879855,0.38712522,0,0,0.41222085,0.733333333333333,"B"
"115",0.35292177,0.24938262,0.35292177,0,0,0.3232889,0.733333333333333,"B"
"116",0.33766063,0.24679991,0.33766063,0,0,0.22975566,0.666666666666667,"B"
"117",0.39708481,0.30115248,0.39708481,0,0,0.39337557,0.733333333333333,"B"
"118",0.36243063,0.26780972,0.36243063,0,0,0.37035656,0.666666666666667,"B"
"119",0.29619283,0.16199019,0.29619283,0,0,0.11933923,0.666666666666667,"B"
"120",0.29200167,0.15594042,0.29200167,0,0,0.11929361,0.6,"B"
"121",0.26681619,0.14666464,0.26681619,0,0,0.11993356,0.733333333333333,"B"
"122",0.26642782,0.14593286,0.26642782,0,0,0.11939755,0.666666666666667,"B"
"123",0.26113137,0.1384119,0.26113137,0,0,0.11883895,0.666666666666667,"B"
"124",0.25806178,0.13290915,0.25806178,0,0,0.11251899,0.6,"B"
"125",0.26267868,0.14248355,0.26267868,0,0,0.11874009,0.666666666666667,"B"
"126",0.26224453,0.14164691,0.26224453,0,0,0.11596163,0.6,"B"
"127",0.25773381,0.13351992,0.25773381,0,0,0.11282633,0.6,"B"
"128",0.25606659,0.13019002,0.25606659,0,0,0.1122902,0.533333333333333,"C"
"129",0.76156899,0.68903355,0.76156899,0,0,0.77719758,0.933333333333333,"A"
"130",0.66898392,0.57279462,0.66898392,0,0,0.66284788,0.866666666666667,"A"
"131",0.56063023,0.46565782,0.56063023,0,0,0.58691478,0.866666666666667,"A"
"132",0.51027645,0.40124691,0.51027645,0,0,0.48328645,0.8,"A"
"133",0.67979068,0.56828843,0.67979068,0,0,0.61141983,0.866666666666667,"A"
"134",0.56227094,0.4457637,0.56227094,0,0,0.53991528,0.8,"A"
"135",0.46342389,0.31135861,0.46342389,0,0,0.31657059,0.8,"A"
"136",0.45854716,0.30385752,0.45854716,0,0,0.31597237,0.733333333333333,"B"
"137",0.533455,0.47534516,0.533455,0,0,0.62039782,0.866666666666667,"A"
"138",0.49794595,0.40437854,0.49794595,0,0,0.39472169,0.8,"A"
"139",0.38966046,0.2985988,0.38966046,0,0,0.43243853,0.8,"A"
"140",0.3193529,0.19543905,0.3193529,0,0,0.27788814,0.733333333333333,"B"
"141",0.4424005,0.36690759,0.4424005,0,0,0.5042578,0.8,"A"
"142",0.4158567,0.32038229,0.4158567,0,0,0.358913,0.733333333333333,"B"
"143",0.31803373,0.19468132,0.31803373,0,0,0.25566418,0.733333333333333,"B"
"144",0.3146714,0.18810483,0.3146714,0,0,0.25419249,0.666666666666667,"B"
"145",0.52922675,0.4149061,0.52922675,0,0,0.51889078,0.866666666666667,"A"
"146",0.45115164,0.36342378,0.45115164,0,0,0.47767932,0.8,"A"
"147",0.35671415,0.27260581,0.35671415,0,0,0.40878848,0.8,"A"
"148",0.31125021,0.21517326,0.31125021,0,0,0.32991035,0.733333333333333,"B"
"149",0.42723286,0.2836517,0.42723286,0,0,0.30241818,0.8,"A"
"150",0.32727629,0.24321595,0.32727629,0,0,0.28872594,0.733333333333333,"B"
"151",0.24454493,0.13182295,0.24454493,0,0,0.08715997,0.733333333333333,"B"
"152",0.23962373,0.12723986,0.23962373,0,0,0.08649221,0.666666666666667,"B"
"153",0.32169723,0.22927692,0.32169723,0,0,0.26838612,0.8,"A"
"154",0.31497809,0.21786282,0.31497809,0,0,0.16538213,0.733333333333333,"B"
"155",0.27509099,0.2040493,0.27509099,0,0,0.20265901,0.733333333333333,"B"
"156",0.23607311,0.12531956,0.23607311,0,0,0.07470176,0.666666666666667,"B"
"157",0.24219312,0.13552129,0.24219312,0,0,0.07234401,0.733333333333333,"B"
"158",0.24156217,0.13444993,0.24156217,0,0,0.07133048,0.666666666666667,"B"
"159",0.23512854,0.12470059,0.23512854,0,0,0.06887343,0.666666666666667,"B"
"160",0.23299722,0.12042732,0.23299722,0,0,0.06878344,0.6,"B"
"161",0.62502548,0.54436128,0.62502548,0,0,0.68032711,0.866666666666667,"A"
"162",0.55156251,0.48336091,0.55156251,0,0,0.62056004,0.8,"A"
"163",0.46710304,0.406401,0.46710304,0,0,0.54926899,0.8,"A"
"164",0.42746866,0.37148302,0.42746866,0,0,0.4726053,0.733333333333333,"B"
"165",0.56070965,0.46406635,0.56070965,0,0,0.57538266,0.8,"A"
"166",0.45153194,0.3794194,0.45153194,0,0,0.51918445,0.733333333333333,"B"
"167",0.36558774,0.26103295,0.36558774,0,0,0.28343941,0.733333333333333,"B"
"168",0.36119464,0.25509976,0.36119464,0,0,0.28271703,0.666666666666667,"B"
"169",0.4418557,0.35657377,0.4418557,0,0,0.48803907,0.8,"A"
"170",0.42375555,0.3237146,0.42375555,0,0,0.35195002,0.733333333333333,"B"
"171",0.35745179,0.2724675,0.35745179,0,0,0.3697259,0.733333333333333,"B"
"172",0.29735833,0.1914828,0.29735833,0,0,0.25414764,0.666666666666667,"B"
"173",0.38505674,0.307715,0.38505674,0,0,0.45091554,0.733333333333333,"B"
"174",0.36451556,0.27995295,0.36451556,0,0,0.31520733,0.666666666666667,"B"
"175",0.29453828,0.18765679,0.29453828,0,0,0.23534983,0.666666666666667,"B"
"176",0.29137827,0.1817942,0.29137827,0,0,0.2338763,0.6,"B"
"177",0.4466888,0.31492002,0.4466888,0,0,0.3625305,0.8,"A"
"178",0.38095606,0.30617717,0.38095606,0,0,0.36092784,0.733333333333333,"B"
"179",0.30744387,0.21866332,0.30744387,0,0,0.31192673,0.733333333333333,"B"
"180",0.28331588,0.22157331,0.28331588,0,0,0.30054364,0.666666666666667,"B"
"181",0.42160629,0.27711911,0.42160629,0,0,0.29106278,0.733333333333333,"B"
"182",0.3219198,0.23861112,0.3219198,0,0,0.27755861,0.666666666666667,"B"
"183",0.23893265,0.12782304,0.23893265,0,0,0.08235304,0.666666666666667,"B"
"184",0.23486594,0.1243935,0.23486594,0,0,0.08180681,0.6,"B"
"185",0.24194821,0.13373392,0.24194821,0,0,0.0688218,0.733333333333333,"B"
"186",0.24149098,0.1330333,0.24149098,0,0,0.06863863,0.666666666666667,"B"
"187",0.23550436,0.1261018,0.23550436,0,0,0.0681792,0.666666666666667,"B"
